epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1587.74,1.2097,0.5209,1.01961,0.79989,0.79408,0.76418,0.35276,2.31761,0.9088,1.50783,0.000495125,0.000495125,0.000495125
63,1609.73,1.20047,0.51219,1.03062,0.75646,0.77375,0.7195,0.34504,2.36105,0.93235,1.57735,0.00048275,0.00048275,0.00048275
64,1632.72,1.20112,0.51172,1.02521,0.77986,0.80488,0.75271,0.34827,2.32907,0.93491,1.53456,0.000470375,0.000470375,0.000470375
65,1655.49,1.19554,0.5067,1.02292,0.77304,0.77952,0.7345,0.34459,2.35638,0.92624,1.57098,0.000458,0.000458,0.000458
66,1677.41,1.19491,0.51442,1.01802,0.79469,0.81996,0.75744,0.35627,2.29295,0.8708,1.51449,0.000445625,0.000445625,0.000445625
67,1698.85,1.19589,0.51132,1.0185,0.7724,0.78507,0.72915,0.3459,2.34814,0.93189,1.56557,0.00043325,0.00043325,0.00043325
68,1720.15,1.17532,0.50263,1.01034,0.75539,0.77073,0.70264,0.33382,2.37527,0.9304,1.59324,0.000420875,0.000420875,0.000420875
69,1741.84,1.1866,0.49719,1.01569,0.77667,0.77934,0.74871,0.35119,2.36312,0.9232,1.59737,0.0004085,0.0004085,0.0004085
70,1763.73,1.17958,0.49507,1.01283,0.77935,0.7695,0.72856,0.34027,2.38257,0.92372,1.60696,0.000396125,0.000396125,0.000396125
71,1785.77,1.17505,0.50254,1.01605,0.7836,0.7593,0.73242,0.34428,2.37359,0.93736,1.59361,0.00038375,0.00038375,0.00038375
72,1807.68,1.16096,0.48787,1.0051,0.77552,0.78498,0.72993,0.34451,2.36763,0.92555,1.59831,0.000371375,0.000371375,0.000371375
73,1829.37,1.16438,0.48993,1.0094,0.76211,0.78068,0.71379,0.32921,2.37984,0.94116,1.60134,0.000359,0.000359,0.000359
74,1851.26,1.1627,0.49035,1.0109,0.79448,0.80573,0.77308,0.35342,2.34005,0.91892,1.5639,0.000346625,0.000346625,0.000346625
75,1873.17,1.17875,0.49621,1.01822,0.7526,0.77045,0.71612,0.32655,2.42825,0.9722,1.64572,0.00033425,0.00033425,0.00033425
76,1894.85,1.18088,0.49542,1.01211,0.78878,0.78523,0.74094,0.35442,2.34386,0.92558,1.56303,0.000321875,0.000321875,0.000321875
77,1917.19,1.16439,0.48842,1.01266,0.75947,0.77241,0.71958,0.35034,2.37419,0.9236,1.60589,0.0003095,0.0003095,0.0003095
78,1940.15,1.15761,0.4841,1.013,0.78095,0.79269,0.75155,0.359,2.33002,0.9222,1.55978,0.000297125,0.000297125,0.000297125
79,1963.2,1.1599,0.48317,1.01234,0.76513,0.77473,0.72966,0.33594,2.38946,0.94931,1.5949,0.00028475,0.00028475,0.00028475
80,1986.21,1.15394,0.47302,1.00839,0.78155,0.79086,0.74652,0.35872,2.30003,0.92266,1.53008,0.000272375,0.000272375,0.000272375
81,2009.17,1.14611,0.48408,1.00034,0.77536,0.78189,0.73282,0.35147,2.34035,0.95079,1.57599,0.00026,0.00026,0.00026
82,2032.14,1.15468,0.47838,1.00784,0.77958,0.7854,0.7354,0.35102,2.34547,0.92941,1.58037,0.000247625,0.000247625,0.000247625
83,2055.03,1.14626,0.4757,1.00402,0.78414,0.79262,0.74269,0.35315,2.34469,0.93827,1.57639,0.00023525,0.00023525,0.00023525
84,2078.07,1.14264,0.47317,1.00489,0.76413,0.77721,0.7099,0.33658,2.38383,0.94111,1.60801,0.000222875,0.000222875,0.000222875
85,2101.07,1.13395,0.47139,1.00422,0.76419,0.77051,0.72045,0.33892,2.37046,0.94235,1.60211,0.0002105,0.0002105,0.0002105
86,2124.1,1.13598,0.46596,1.00196,0.78446,0.78495,0.74367,0.3445,2.34293,0.92783,1.57435,0.000198125,0.000198125,0.000198125
87,2147.14,1.13396,0.46652,1.00276,0.76021,0.77894,0.72542,0.34634,2.36569,0.9461,1.6012,0.00018575,0.00018575,0.00018575
88,2170.07,1.12817,0.46568,1.00256,0.77241,0.77881,0.73014,0.34485,2.36566,0.94127,1.60373,0.000173375,0.000173375,0.000173375
89,2192.81,1.12268,0.46517,0.99671,0.76391,0.77265,0.71481,0.33815,2.38877,0.95127,1.61202,0.000161,0.000161,0.000161
90,2215.62,1.12135,0.45781,0.99729,0.76933,0.79047,0.73629,0.35394,2.3334,0.92431,1.57881,0.000148625,0.000148625,0.000148625
91,2247.24,1.10571,0.41655,1.03319,0.75897,0.77741,0.71782,0.34023,2.38892,0.95574,1.61391,0.00013625,0.00013625,0.00013625
92,2269.97,1.09939,0.41219,1.02867,0.7719,0.7729,0.73066,0.35012,2.35337,0.9421,1.58553,0.000123875,0.000123875,0.000123875
93,2292.72,1.09156,0.4082,1.02229,0.78163,0.78911,0.74336,0.35503,2.33806,0.93204,1.57788,0.0001115,0.0001115,0.0001115
94,2315.49,1.08792,0.4092,1.02312,0.77839,0.787,0.73817,0.35233,2.34284,0.94053,1.58327,9.9125e-05,9.9125e-05,9.9125e-05
95,2338.17,1.08508,0.40507,1.01811,0.78233,0.78932,0.7439,0.35476,2.33105,0.93738,1.56856,8.675e-05,8.675e-05,8.675e-05
96,2360.85,1.08038,0.40139,1.01619,0.77265,0.7856,0.73503,0.34738,2.36682,0.94715,1.60234,7.4375e-05,7.4375e-05,7.4375e-05
97,2383.55,1.08072,0.40326,1.01782,0.77799,0.7876,0.73751,0.35208,2.34683,0.95369,1.58851,6.2e-05,6.2e-05,6.2e-05
98,2406.19,1.07132,0.39687,1.01832,0.77685,0.78503,0.73009,0.34889,2.34845,0.94938,1.58446,4.9625e-05,4.9625e-05,4.9625e-05
99,2428.83,1.07545,0.39598,1.02024,0.77878,0.78672,0.74144,0.3477,2.35103,0.94695,1.59021,3.725e-05,3.725e-05,3.725e-05
100,2451.49,1.0748,0.39697,1.02066,0.77797,0.78843,0.74424,0.35041,2.34595,0.94374,1.58855,2.4875e-05,2.4875e-05,2.4875e-05
